total_time1,air_time1,paper_time1,mean_speed_on_paper1,mean_speed_in_air1,mean_acc_on_paper1,mean_acc_in_air1,mean_jerk_on_paper1,mean_jerk_in_air1,pressure_mean1,pressure_var1,gmrt_on_paper1,gmrt_in_air1,mean_gmrt1,num_of_pendown1,max_x_extension1,max_y_extension1,disp_index1,total_time2,air_time2,paper_time2,mean_speed_on_paper2,mean_speed_in_air2,mean_acc_on_paper2,mean_acc_in_air2,mean_jerk_on_paper2,mean_jerk_in_air2,pressure_mean2,pressure_var2,gmrt_on_paper2,gmrt_in_air2,mean_gmrt2,num_of_pendown2,max_x_extension2,max_y_extension2,disp_index2,total_time3,air_time3,paper_time3,mean_speed_on_paper3,mean_speed_in_air3,mean_acc_on_paper3,mean_acc_in_air3,mean_jerk_on_paper3,mean_jerk_in_air3,pressure_mean3,pressure_var3,gmrt_on_paper3,gmrt_in_air3,mean_gmrt3,num_of_pendown3,max_x_extension3,max_y_extension3,disp_index3,total_time4,air_time4,paper_time4,mean_speed_on_paper4,mean_speed_in_air4,mean_acc_on_paper4,mean_acc_in_air4,mean_jerk_on_paper4,mean_jerk_in_air4,pressure_mean4,pressure_var4,gmrt_on_paper4,gmrt_in_air4,mean_gmrt4,num_of_pendown4,max_x_extension4,max_y_extension4,disp_index4,total_time5,air_time5,paper_time5,mean_speed_on_paper5,mean_speed_in_air5,mean_acc_on_paper5,mean_acc_in_air5,mean_jerk_on_paper5,mean_jerk_in_air5,pressure_mean5,pressure_var5,gmrt_on_paper5,gmrt_in_air5,mean_gmrt5,num_of_pendown5,max_x_extension5,max_y_extension5,disp_index5,LastColumn
15890.0,5160.0,9741.875,1.493242297,1.828075941,0.217459316,0.361800168,0.021547432,0.051836416,1679.23206,282792.412655,86.85333376,120.8041741,103.8287539,20,957.0,6601.0,1.25e-05,24870.0,6085.0,18785.0,0.605319562,3.374298552,0.076406213,0.616120599,0.010782803,0.110648063,1851.080916,167223.5947,51.34226273,269.3557887,160.3490257,6,749.0,4945.0,1.19e-05,11720.0,2520.0,9170,0.931675584,1.91742562,0.165154,0.175297009,0.01660885,0.022732545,1862.805435,147899.585,48.26071346,130.795209,89.52796123,4,719,4246.0,9.07e-06,12390.0,4185.0,8205.0,3.602156469,3.110629606,0.17127888,0.247035253,0.021265358,0.028509132,1880.546009,166662.4307,194.0812065,175.2342275,184.657717,11,1258.0,11038.0,1.41e-05,57930.0,41360,16570.0,1.613137591,4.270080176,0.165273732,0.688048629,0.019346484,0.120760015,1704.26041,287628.2258,159.9398505,218.0937672,189.0168088,31,3200.0,4211,1.87e-05,P
19546.875,9781.875,9741.875,1.517763391,1.817744161,0.144879926,0.272513092,0.01688453,0.039826556,1723.171348,210516.6356,83.44868072,115.3182382,99.38345948,11,1694.0,6998.0,1.6e-05,26100.0,10515.0,15585.0,0.91216086,2.894192711,0.103936889,0.8286846856250001,0.011602611,0.15399606675,1846.005454,198894.3352,73.11585467,272.7712368,172.9435457,5,1605.625,5051.0,1.51e-05,6805.0,1895.0,4910,1.460129641,5.944763723,0.163050852,0.49787525925,0.01808431,0.069452501625,1282.657841,46112.0092,68.94581315,358.0751488,213.510481,1,444,3092.0,6.22e-06,27724.375,15849.375,14493.125,0.999947769,3.251113376,0.16943564,0.48643751599999996,0.017627077,0.07969417,1749.31592,253698.2548,63.17481094,185.6092487,124.3920298,32,2783.375,11317.0,2.1612499999999997e-05,75760.0,48785,26975.0,0.578824682,1.666241142,0.14233018,0.300941367,0.016300102,0.0420243,1586.133272,303386.8618,40.59304104,79.50226253,60.04765179,24,3342.0,3881,1.59e-05,P
8680.0,2600.0,6080.0,3.30886561,3.378343433,0.181342283,0.387019883,0.020126445,0.064220393,1520.253289,120845.8717,172.7618583,229.9339973,201.3479278,10,2333.0,5802.0,1.03e-05,7105.0,560.0,6545.0,1.856534397,2.736669283,0.075103317,0.211138474,0.009264755,0.030854063,1948.3178,48577.01894,92.98327881,122.8095843,107.8964316,1,322.0,5059.0,1.05e-05,6960.0,2410.0,4550,1.381828584,5.46192676,0.184141247,0.49787525925,0.018890679,0.069452501625,1853.78022,180637.9319,65.64667391,314.0143573,189.8305156,5,806,3730.0,6.27e-06,12760.0,4655.0,8105.0,2.686954585,2.25819997,0.141611328,0.19144191,0.017397351,0.024976884,1564.901912,153318.4759,155.8039447,124.7198502,140.2618974,16,1574.0,11819.0,1.43e-05,103095.0,68360,33381.25,1.14333186,2.256226282,0.126616426,0.367091271,0.016243104,0.060498739,1269.215777,343051.6317,85.44896921,110.209716,97.82934262,41,3798.0,4213,2.21e-05,P
7725.0,2130.0,5595.0,3.542645063,5.08249858,0.164502292,0.556879069,0.021150119,0.090407703,1913.995532,100286.6032,183.1931039,369.4033417,276.2982228,10,1756.0,8159.0,1.03e-05,27255.0,13735.0,13520.0,0.851550349,2.937014754,0.129888391,0.344578543,0.010555975,0.053322841,1772.405325,196922.247,50.14155473,185.2785059,117.7100303,7,647.0,4714.0,1.4e-05,5095.0,875.0,4220,1.350798352,3.197180863,0.175455686,0.30316402,0.020114423,0.043503171,1925.543839,120533.3215,64.97970245,232.2384603,148.6090814,4,339,2936.0,4.7e-06,16515.0,5435.0,11080.0,2.102063523,3.91447217,0.164208149,0.247650486,0.019490963,0.027226397,1647.733755,246311.6972,114.2810042,235.163095,174.7220496,15,1584.0,12164.0,1.64e-05,123283.125,93435,30395.0,1.256312716,2.177011229,0.143925036,0.303465084,0.017513568,0.046485291,1429.704721,347056.1729,85.16980172,101.8239531,93.49687744,42,4462.0,4008,2.14e-05,P
6390.0,2310.0,4080.0,2.180543781,3.804656241,0.145104306,0.266076606,0.018590301,0.037528236,1819.121324,160061.8198,111.275889,257.997131,184.63651,8,987.0,4732.0,6.86e-06,12550.0,4225.0,8325.0,1.272411406,2.879225949,0.081101352,0.43423651,0.009944379,0.067752513,1902.652853,92904.05967,63.49016434,112.6196852,88.05492476,1,285.0,4597.0,1.2e-05,9005.0,1755.0,7250,1.040535066,1.230565031,0.231866086,0.222816678,0.017576323,0.033699346,1531.293793,134837.3413,53.38685601,115.8132147,84.60003534,4,409,4419.0,7.94e-06,10585.0,2820.0,7765.0,1.965147391,3.38348328,0.157230038,0.213095902,0.019368339,0.032621572,1900.738571,107163.3689,120.6807488,187.584869,154.1328089,16,1045.0,10831.0,1.16e-05,123283.125,93435,33381.25,0.934426864,1.948670131,0.150507896,0.366185595,0.016746455,0.058760441,1580.502877,356656.6401,78.77914659,91.46733699,85.12324179,42,3904.0,4374,2.13e-05,P
8985.0,1920.0,7065.0,2.10528167,2.63386081,0.143013328,0.212523252,0.01730324,0.028368998,1246.059448,153502.7013,109.9022542,199.7649568,154.8336055,7,1548.0,6260.0,1.14e-05,16590.0,8115.0,8475.0,1.32869634,2.826521389,0.074182175,0.186515146,0.009358594,0.022595747,1306.82807925,252933.9075,67.10517204,226.2692335,146.6872028,5,270.0,4681.0,1.25e-05,15194.375,5910.625,3175,4.382451574,5.098661734,0.189739351,0.49787525925,0.024395969,0.069452501625,1962.651969,73401.35446,200.7309039,253.967919,227.3494115,5,890,5283.0,6.5e-06,14730.0,4545.0,10185.0,1.82375618,1.963525183,0.139653428,0.189536542,0.017834453,0.024711406,1116.3350561250002,152869.4864,102.9916702,123.3663625,113.1790163,16,1450.0,10894.0,1.55e-05,85255.0,50025,33381.25,1.590077504,2.171653634,0.15073412,0.236973082,0.016424656,0.03265215,1038.1805381250003,321566.3501,135.4131674,131.6719703,133.5425689,42,3920.0,4162,2.4e-05,P
11955.0,6415.0,5540.0,4.442379554,5.206779616,0.193239442,0.678487179,0.023952168,0.121921597,1812.662455,139328.6117,279.7254095,276.5146013,278.1200054,16,1837.0,11560.25,1.16e-05,28485.0,16020.0,12465.0,0.850487871,3.410201135,0.068992466,0.735168122,0.00832898,0.133674655,1884.133975,87980.62625,70.64576256,209.8672513,140.2565069,5,891.0,4641.0,1.25e-05,9080.0,5910.625,2850,3.958037747,6.805774686125,0.192188473,0.49787525925,0.024504565,0.069452501625,1649.961404,151026.595,198.8494753,394.1041483,296.4768118,5,761,2308.0,4.81e-06,27724.375,15849.375,13040.0,1.968689976,2.286971425,0.130283086,0.289892439,0.017951733,0.04713415,1895.020322,146731.2254,140.4752054,115.539957,128.0075812,30,1184.0,12709.0,1.52e-05,114590.0,89420,25170.0,1.025548401,2.328185706,0.128743192,0.44495768,0.015506489,0.073821265,1823.188717,230595.2147,80.36773468,110.950443,95.65908884,33,3370.0,2981,1.78e-05,P
5640.0,1510.0,4130.0,2.939409533,5.100067627,0.168026241,0.668660612,0.021673807,0.123316834,1949.090799,62846.49418,154.7838815,284.0156545,219.399768,4,2883.0,4663.0,6.94e-06,13285.0,6745.0,6540.0,1.447704579,0.763016074,0.064979746,0.194422983,0.00830769,0.033667319,2018.0,24786.00153,72.09649793,86.07557862,79.08603828,2,566.0,4679.0,6.98e-06,6495.0,1520.0,4975,3.146044243,3.374334735,0.193833063,0.361504257,0.024605363,0.041987433,1657.584925,211327.9172,149.2863941,225.5778918,187.4321429,3,1189,4638.0,8e-06,7985.0,2360.0,5625.0,3.983870355,3.41219734,0.214003886,0.222900072,0.024067458,0.033402439,1803.403556,145607.1811,207.3695907,180.7322451,194.0509179,10,1579.0,8390.0,1.01e-05,41835.0,29560,12275.0,3.479239262,2.871345454,0.137980133,0.427411565,0.017626735,0.072531167,1486.864766,397660.1088,224.8493548,169.6586491,197.254002,24,7602.0,7540,1.57e-05,P
12300.0,4860.0,7440.0,5.770358958,4.388766934,0.214147624,0.277021383,0.023461,0.040833902,1518.729839,157685.0372,308.5759848,236.8763124,272.7261486,10,3163.125,7348.0,1.31e-05,22340.0,7020.0,15320.0,0.795124862,2.698866645,0.136339553,0.228721804,0.012623367,0.036059837,1623.887076,108375.9729,64.48093131,215.627377,140.0541542,4,905.0,5115.0,1.49e-05,6235.0,1270.0,4965,3.81493155,4.898149846,0.168346539,0.361223789,0.020793307,0.045041912,1582.768379,125383.1588,181.7421921,388.5796567,285.1609244,3,1525,5213.0,8.03e-06,23230.0,8780.0,14450.0,2.06486735,3.10666203,0.179165727,0.247327262,0.022468798,0.03177566,1294.098616,169057.3795,120.0149258,160.4671055,140.2410156,27,1716.0,10853.0,1.78e-05,59265.0,33005,26260.0,1.483643685,2.675761502,0.148839698,0.248761782,0.017944895,0.031375774,1464.018469,242313.4835,92.25878564,138.8270268,115.5429062,22,5778.0,5055,2.66e-05,P
12615.0,6265.0,6350.0,6.579061303,6.401486948,0.193083784,0.77945022425,0.019893214,0.13335866899999999,1295.096063,95099.85376,354.1100895,381.9288721,368.0194808,8,3163.125,11560.25,1.26e-05,15960.0,8820.0,7140.0,2.37965723,3.070442015,0.072367323,0.454166985,0.007972165,0.077435063,1306.82807925,121235.4631,190.2460287,277.1286856,233.6873572,5,1605.625,5834.5,1.36e-05,9250.0,3155.0,6095,1.194831856,3.294785486,0.133273304,0.49787525925,0.014759215,0.069452501625,1229.4566065000004,172673.2826,57.53419294,212.920844,135.2275185,4,663,4576.0,8.6e-06,23740.0,9080.0,14493.125,1.573449581,1.993331054,0.159170653,0.189466788,0.015731778,0.024159058,1116.3350561250002,198502.2017,86.36837834,117.3462154,101.8572969,16,1332.0,13996.0,2.05e-05,87745.0,60800,26945.0,0.910645451,2.744320944,0.15919978,0.646031397,0.015239441,0.116773845,1038.1805381250003,164685.9078,58.54387233,131.1238215,94.8338469,29,3464.0,3680,2e-05,P
