Classifier,Metric,Mean,Std,Std_Mean_Ratio
RF,ACC,0.8027450980392155,0.0930604200901046,0.11592773386896277
LR,ACC,0.7975816993464052,0.0900833102006681,0.11294555814719512
LDA,ACC,0.7596732026143791,0.0983029350660012,0.12940160943902765
GNB,ACC,0.7627450980392158,0.0973154109327326,0.1275857572639939
ET,ACC,0.8189542483660129,0.084044765314603,0.10262449395957113
XGB,ACC,0.7966013071895424,0.0895247346561542,0.11238336398417784
KNN,ACC,0.7376470588235294,0.0922102473662158,0.12500591748211073
SVM,ACC,0.81437908496732,0.0887975309068413,0.10903709653889825
MLP,ACC,0.7805882352941176,0.0902150448941833,0.1155731547250276
DT,ACC,0.71078431372549,0.0930477726321163,0.13090859046173609
RF,PREC,0.8028318903318903,0.1130270734210189,0.14078548047498907
LR,PREC,0.8248109668109668,0.1103381925635546,0.13377391548291853
LDA,PREC,0.7923916083916082,0.1196574429475303,0.15100796333571764
GNB,PREC,0.7871810966810968,0.120813980908084,0.15347673034509898
ET,PREC,0.8260405705405706,0.1140746030054964,0.13809806330801
XGB,PREC,0.7987453102453103,0.1077481600328049,0.13489676703042341
KNN,PREC,0.8813174603174603,0.123342317500808,0.13995220003513686
SVM,PREC,0.8089110889110889,0.1095634015799482,0.13544554288090718
MLP,PREC,0.8004660894660895,0.1165345719419423,0.14558339631810113
DT,PREC,0.7109753024753025,0.0991193636618912,0.13941323041292894
RF,REC,0.8336111111111112,0.13183445708188,0.15814863228749348
LR,REC,0.7838888888888889,0.1420789208612115,0.18124880053166598
LDA,REC,0.7358333333333333,0.1468940262171052,0.19962948070274772
GNB,REC,0.7580555555555556,0.1341724176361184,0.1769954941333918
ET,REC,0.8405555555555556,0.1244196403851909,0.14802072220313522
XGB,REC,0.8244444444444444,0.1098806872571279,0.1332784616326349
KNN,REC,0.5733333333333334,0.15245015376416,0.265901430984
SVM,REC,0.8563888888888889,0.131779428975977,0.15387802280684956
MLP,REC,0.7816666666666666,0.1386954208079215,0.17743550636407868
DT,REC,0.7413888888888889,0.1408716800741496,0.19001050890481025
RF,SPEC,0.7719444444444443,0.1425920214033773,0.1847179838258936
LR,SPEC,0.8130555555555555,0.1234537075232435,0.15183920296674977
LDA,SPEC,0.7852777777777777,0.1390057841411333,0.17701479409553586
GNB,SPEC,0.7697222222222222,0.1467521320853804,0.19065596373416438
ET,SPEC,0.7983333333333331,0.1442102802794294,0.18063918197840848
XGB,SPEC,0.7683333333333333,0.1440818097513859,0.1875251319974654
KNN,SPEC,0.909722222222222,0.0990794823722878,0.108911797416866
SVM,SPEC,0.7719444444444443,0.1408497689291942,0.18246101768445455
MLP,SPEC,0.781111111111111,0.1353025872755461,0.17321810604266216
DT,SPEC,0.6794444444444443,0.1234733939451964,0.18172699027093506
RF,TPR,0.8336111111111112,0.13183445708188,0.15814863228749348
LR,TPR,0.7838888888888889,0.1420789208612115,0.18124880053166598
LDA,TPR,0.7358333333333333,0.1468940262171052,0.19962948070274772
GNB,TPR,0.7580555555555556,0.1341724176361184,0.1769954941333918
ET,TPR,0.8405555555555556,0.1244196403851909,0.14802072220313522
XGB,TPR,0.8244444444444444,0.1098806872571279,0.1332784616326349
KNN,TPR,0.5733333333333334,0.15245015376416,0.265901430984
SVM,TPR,0.8563888888888889,0.131779428975977,0.15387802280684956
MLP,TPR,0.7816666666666666,0.1386954208079215,0.17743550636407868
DT,TPR,0.7413888888888889,0.1408716800741496,0.19001050890481025
RF,FPR,0.2280555555555555,0.1425920214033773,0.6252512509770504
LR,FPR,0.1869444444444444,0.1234537075232435,0.66037644440368
LDA,FPR,0.2147222222222222,0.1390057841411333,0.6473749326107113
GNB,FPR,0.2302777777777777,0.1467521320853804,0.6372830826385641
ET,FPR,0.2016666666666666,0.1442102802794294,0.7150922989062617
XGB,FPR,0.2316666666666666,0.1440818097513859,0.6219358694304429
KNN,FPR,0.0902777777777777,0.0990794823722878,1.0974958047391887
SVM,FPR,0.2280555555555555,0.1408497689291942,0.6176116542571245
MLP,FPR,0.2188888888888888,0.1353025872755461,0.6181336474517336
DT,FPR,0.3205555555555556,0.1234733939451964,0.3851856310248761
RF,F1,0.8097364613744342,0.0950321612960698,0.11736184033847712
LR,F1,0.7941053860140547,0.1011950556560057,0.12743277836704495
LDA,F1,0.7536402214916145,0.106545496697559,0.14137448302146452
GNB,F1,0.7631298211592329,0.0994464712208856,0.13031396292418682
ET,F1,0.8243752808938567,0.0839832957751082,0.10187507767584501
XGB,F1,0.8053003352370695,0.0857848215331112,0.1065252524796942
KNN,F1,0.6821110392875098,0.1254467826783392,0.18390962094584043
SVM,F1,0.822772979858119,0.0879825245924032,0.10693414434632396
MLP,F1,0.7812309563501515,0.095706100781916,0.12250679521078792
DT,F1,0.7196866119776335,0.1022047728079423,0.1420128860353437
RF,AUC,0.8820833333333333,0.0805473793802546,0.09131493174898962
LR,AUC,0.8815432098765431,0.0790747486984647,0.0897003661448868
LDA,AUC,0.8387037037037035,0.0887962694765168,0.105873229227907
GNB,AUC,0.8716049382716049,0.0889826109133838,0.10209053093461881
ET,AUC,0.8985802469135803,0.0783859720598003,0.08723313508063232
XGB,AUC,0.8911728395061728,0.0716164049992777,0.08036197000680881
KNN,AUC,0.7948302469135803,0.087516226694495,0.11010681467436707
SVM,AUC,0.8740123456790123,0.0847337519420874,0.0969480034933128
MLP,AUC,0.8526234567901235,0.085300986998208,0.10004532049744576
DT,AUC,0.7104166666666666,0.0926738647950401,0.13045001496076028
RF,KAPPA,0.6053001087708693,0.1856357267495216,0.30668378224229315
LR,KAPPA,0.595677772440938,0.1793111357116074,0.30102035699071894
LDA,KAPPA,0.5198165405263314,0.196129702646528,0.37730562103302867
GNB,KAPPA,0.5261550664047199,0.19420003539423,0.3690927785248215
ET,KAPPA,0.638003437920896,0.1678126825743009,0.26302786568229664
XGB,KAPPA,0.5927396580518389,0.1785675959344062,0.30125805403557004
KNN,KAPPA,0.4795083206795933,0.1812326038204642,0.3779550760737758
SVM,KAPPA,0.6285014882781428,0.1768890159396203,0.2814456596184514
MLP,KAPPA,0.5615016675773987,0.1803531880868167,0.32119795630340914
DT,KAPPA,0.4208166937098607,0.1855106647220735,0.44083485159925007
RF,MCC,0.6186926443673904,0.1848978705781378,0.298852543765402
LR,MCC,0.6080209391719488,0.1785520477188399,0.2936610175991739
LDA,MCC,0.5326268505448961,0.1982689835314052,0.3722474436438363
GNB,MCC,0.5374811644682586,0.1960228617797152,0.3647064766886199
ET,MCC,0.6531425718279309,0.1669617319051545,0.25562831012206666
XGB,MCC,0.6027456369465187,0.1768117125243308,0.29334382811968696
KNN,MCC,0.5185864225993091,0.1787140670165042,0.3446177131301206
