Metric,Classifier,Std_to_Mean_Ratio
Accuracy,RF,0.11499999999999999
Accuracy,LR,0.11959287531806616
Accuracy,LDA,0.1411764705882353
Accuracy,GNB,0.12140992167101827
Accuracy,ET,0.11124845488257107
Accuracy,XGB,0.11221945137157106
Accuracy,KNN,0.12704918032786885
Accuracy,SVM,0.125974025974026
Accuracy,MLP,0.12236842105263157
Accuracy,DT,0.15539568345323743
Precision,RF,0.13266583229036294
Precision,LR,0.13496932515337423
Precision,LDA,0.15625
Precision,GNB,0.14195183776932827
Precision,ET,0.12698412698412698
Precision,XGB,0.1295143212951432
Precision,KNN,0.14742857142857144
Precision,SVM,0.14177215189873418
Precision,MLP,0.13513513513513511
Precision,DT,0.16807909604519775
Sensitivity (Recall),RF,0.1588447653429603
Sensitivity (Recall),LR,0.18407310704960833
Sensitivity (Recall),LDA,0.21389645776566757
Sensitivity (Recall),GNB,0.1721419185282523
Sensitivity (Recall),ET,0.16199756394640685
Sensitivity (Recall),XGB,0.14009661835748793
Sensitivity (Recall),KNN,0.26855123674911663
Sensitivity (Recall),SVM,0.17317708333333334
Sensitivity (Recall),MLP,0.19710906701708278
Sensitivity (Recall),DT,0.22804532577903686
Specificity,RF,0.17838541666666669
Specificity,LR,0.15613382899628253
Specificity,LDA,0.17440401505646175
Specificity,GNB,0.1841763942931258
Specificity,ET,0.1721105527638191
Specificity,XGB,0.17829457364341086
Specificity,KNN,0.10927152317880795
Specificity,SVM,0.1800518134715026
Specificity,MLP,0.16996047430830039
Specificity,DT,0.21751824817518245
F1 Score,RF,0.11509900990099009
F1 Score,LR,0.13043478260869565
F1 Score,LDA,0.1574074074074074
F1 Score,GNB,0.12402088772845953
F1 Score,ET,0.11206896551724137
F1 Score,XGB,0.1074074074074074
F1 Score,KNN,0.19407407407407407
F1 Score,SVM,0.1297016861219196
F1 Score,MLP,0.1370223978919631
F1 Score,DT,0.17191977077363899
ROC AUC,RF,0.09255079006772009
ROC AUC,LR,0.09204545454545454
ROC AUC,LDA,0.12215568862275449
ROC AUC,GNB,0.09518348623853211
ROC AUC,ET,0.08463251670378619
ROC AUC,XGB,0.08622620380739081
ROC AUC,KNN,0.11801242236024845
ROC AUC,SVM,0.09810874704491726
ROC AUC,MLP,0.10658682634730539
ROC AUC,DT,0.15517241379310345
TPR,RF,0.1588447653429603
TPR,LR,0.18407310704960833
TPR,LDA,0.21389645776566757
TPR,GNB,0.1721419185282523
TPR,ET,0.16199756394640685
TPR,XGB,0.14009661835748793
TPR,KNN,0.26855123674911663
TPR,SVM,0.17317708333333334
TPR,MLP,0.19710906701708278
TPR,DT,0.22804532577903686
FPR,RF,0.5905172413793104
FPR,LR,0.6528497409326425
FPR,LDA,0.6847290640394089
FPR,GNB,0.6200873362445414
FPR,ET,0.6715686274509804
FPR,XGB,0.6106194690265487
FPR,KNN,1.0531914893617023
FPR,SVM,0.6096491228070176
FPR,MLP,0.5352697095435685
FPR,DT,0.473015873015873
Cohen's Kappa,RF,0.3088480801335559
Cohen's Kappa,LR,0.3269230769230769
Cohen's Kappa,LDA,0.40566037735849053
Cohen's Kappa,GNB,0.3483992467043314
Cohen's Kappa,ET,0.2917341977309562
Cohen's Kappa,XGB,0.30016583747927034
Cohen's Kappa,KNN,0.39019189765458423
Cohen's Kappa,SVM,0.35992578849721707
Cohen's Kappa,MLP,0.3564547206165703
Cohen's Kappa,DT,0.5524296675191815
MCC,RF,0.303921568627451
MCC,LR,0.3219178082191781
MCC,LDA,0.40036900369003686
MCC,GNB,0.34501845018450183
MCC,ET,0.2845786963434022
MCC,XGB,0.29411764705882354
MCC,KNN,0.3609467455621302
MCC,SVM,0.35336976320582875
MCC,MLP,0.3502824858757062
MCC,DT,0.5475
