Classifier,Metric,Mean,Std,CV_Ratio
RF,Accuracy,0.7943,0.0576,0.0725
RF,Precision,0.7941,0.0648,0.0816
RF,Sensitivity,0.8172,0.0825,0.101
RF,Specificity,0.77,0.0877,0.1139
RF,F1 Score,0.8027,0.0566,0.0706
RF,ROC AUC,0.8781,0.0498,0.0567
RF,TPR,0.8172,0.0825,0.101
RF,FPR,0.23,0.0877,0.3812
RF,Cohens Kappa,0.5878,0.1154,0.1963
RF,MCC,0.5929,0.1155,0.1948
LR,Accuracy,0.7803,0.0636,0.0815
LR,Precision,0.8075,0.0704,0.0872
LR,Sensitivity,0.7583,0.104,0.1372
LR,Specificity,0.8035,0.0857,0.1067
LR,F1 Score,0.7779,0.0705,0.0906
LR,ROC AUC,0.8709,0.054,0.062
LR,TPR,0.7583,0.104,0.1372
LR,FPR,0.1965,0.0857,0.4364
LR,Cohens Kappa,0.5611,0.1266,0.2256
LR,MCC,0.5676,0.1262,0.2224
LDA,Accuracy,0.7357,0.0649,0.0883
LDA,Precision,0.7686,0.0766,0.0997
LDA,Sensitivity,0.7033,0.1078,0.1533
LDA,Specificity,0.77,0.0896,0.1164
LDA,F1 Score,0.7296,0.075,0.1028
LDA,ROC AUC,0.8108,0.0709,0.0875
LDA,TPR,0.7033,0.1078,0.1533
LDA,FPR,0.23,0.0896,0.3897
LDA,Cohens Kappa,0.4724,0.1291,0.2733
LDA,MCC,0.4793,0.1302,0.2716
GNB,Accuracy,0.7594,0.0681,0.0897
GNB,Precision,0.7741,0.0733,0.0947
GNB,Sensitivity,0.7578,0.098,0.1293
GNB,Specificity,0.7612,0.0914,0.1201
GNB,F1 Score,0.7625,0.0716,0.0939
GNB,ROC AUC,0.8633,0.0579,0.067
GNB,TPR,0.7578,0.098,0.1293
GNB,FPR,0.2388,0.0914,0.3829
GNB,Cohens Kappa,0.5188,0.136,0.2622
GNB,MCC,0.5233,0.1363,0.2604
ET,Accuracy,0.8083,0.0622,0.077
ET,Precision,0.8109,0.0687,0.0847
ET,Sensitivity,0.8244,0.087,0.1056
ET,Specificity,0.7912,0.0886,0.112
ET,F1 Score,0.8148,0.0614,0.0754
ET,ROC AUC,0.8911,0.0475,0.0534
ET,TPR,0.8244,0.087,0.1056
ET,FPR,0.2088,0.0886,0.4242
ET,Cohens Kappa,0.616,0.1246,0.2023
ET,MCC,0.6211,0.1253,0.2018
XGB,Accuracy,0.7889,0.0537,0.0681
XGB,Precision,0.7958,0.065,0.0817
XGB,Sensitivity,0.8017,0.084,0.1048
XGB,Specificity,0.7753,0.0894,0.1153
XGB,F1 Score,0.7952,0.0539,0.0677
XGB,ROC AUC,0.8756,0.0512,0.0585
XGB,TPR,0.8017,0.084,0.1048
XGB,FPR,0.2247,0.0894,0.3977
XGB,Cohens Kappa,0.5772,0.1077,0.1866
XGB,MCC,0.5826,0.1078,0.185
KNN,Accuracy,0.7246,0.0656,0.0905
KNN,Precision,0.872,0.0934,0.1071
KNN,Sensitivity,0.55,0.1101,0.2002
KNN,Specificity,0.9094,0.0703,0.0773
KNN,F1 Score,0.6674,0.0943,0.1413
KNN,ROC AUC,0.8098,0.0609,0.0752
KNN,TPR,0.55,0.1101,0.2002
KNN,FPR,0.0906,0.0703,0.7761
KNN,Cohens Kappa,0.4548,0.129,0.2837
KNN,MCC,0.4934,0.1278,0.2589
SVM,Accuracy,0.7583,0.0662,0.0873
SVM,Precision,0.784,0.0733,0.0934
SVM,Sensitivity,0.7389,0.1084,0.1468
SVM,Specificity,0.7788,0.0908,0.1166
SVM,F1 Score,0.7561,0.0736,0.0973
SVM,ROC AUC,0.8407,0.0583,0.0694
SVM,TPR,0.7389,0.1084,0.1468
SVM,FPR,0.2212,0.0908,0.4105
SVM,Cohens Kappa,0.517,0.1318,0.255
SVM,MCC,0.5236,0.1321,0.2522
MLP,Accuracy,0.7514,0.0643,0.0856
MLP,Precision,0.7747,0.073,0.0942
MLP,Sensitivity,0.7361,0.0951,0.1291
MLP,Specificity,0.7676,0.0913,0.1189
MLP,F1 Score,0.7513,0.0675,0.0899
MLP,ROC AUC,0.8336,0.0582,0.0698
MLP,TPR,0.7361,0.0951,0.1291
MLP,FPR,0.2324,0.0913,0.3928
MLP,Cohens Kappa,0.5031,0.1285,0.2554
MLP,MCC,0.5084,0.1294,0.2546
DT,Accuracy,0.694,0.0804,0.1159
DT,Precision,0.7131,0.0882,0.1236
DT,Sensitivity,0.6889,0.1194,0.1733
DT,Specificity,0.6994,0.1197,0.1711
DT,F1 Score,0.6955,0.0887,0.1276
DT,ROC AUC,0.6942,0.0804,0.1158
DT,TPR,0.6889,0.1194,0.1733
DT,FPR,0.3006,0.1197,0.3981
DT,Cohens Kappa,0.388,0.1606,0.414
DT,MCC,0.3936,0.1614,0.41
